Employer,CEO,CEOCompensation
Microchip Technology,Steve Sanghi,576.731
MetLife,"Steven A. Kandarian, J.D.",1516.3802
AmerisourceBergen,Steven H. Collis,990.2985
Bed Bath & Beyond,Steven H. Temares,1911.604
Southwestern Energy,Steven L. Mueller,1145.3881
Transocean,Steven L. Newman,1424.8615
Qualcomm,Steven M. Mollenkopf,6074.0592
Lennar,Stuart A. Miller,1790.9543
Reynolds American,Susan M. Cameron,1075.1553
Aimco Apartment Homes,"Terry Considine, J.D.",428.443
Macy's,Terry J. Lundgren,1649.722
ONEOK,Terry K. Spencer,404.2922
Southern Company,Thomas A. Fanning,1151.5993
Raytheon,Thomas A. Kennedy,1373.3364
Genuine Parts,Thomas C. Gallagher,1013.0811
Dominion Resources,"Thomas F. Farrell, II",2061.2945
NetApp,Thomas Georgens,858.0575
Kimberly-Clark,Thomas J. Falk,1539.5181
CarMax,Thomas J. Folliard,904.3334
TE Connectivity,Thomas J. Lynch,1161.6982
Genworth Financial,Thomas J. McInerney,269.6365
Allstate,Thomas J. Wilson,1564.1385
Unum Group,Thomas R. Watjen,1331.4589
AvalonBay,Tim Naughton,742.7676
Apple,Timothy D. Cook,922.2638
Bard,Timothy M. Ring,1084.0935
Tenet Healthcare,Trevor Fetter,1795.0107
Xerox,Ursula M. Burns,2220.5362
Coach,Victor Luis,667.9113
BD,"Vincent A. Forlenza, BD",1098.3518
Analog Devices,Vincent T. Roche,609.0567
IBM,Virginia M. Rometty,1934.5125
Crown Castle,W. Benjamin Moreland,841.2742
Costco Wholesale,W. Craig Jelinek,562.2927
American Airlines,W. Douglas Parker,1230.1976
Boeing,"W. James McNerney, Jr.",2886.192
Kroger,W. Rodney McMullen,1298.7582
Whole Foods Market,"Walter E. Robb, III",274.252
Charles Schwab,Walter W. Bettinger II,1184.1179
Ameren,"Warner L. Baxter, CPA",495.8397
Corning,Wendell P. Weeks,1303.4461
Northrop Grumman,Wesley G. Bush,2179.5703
Fastenal,Willard D. Oberton,146.8943
H&R Block,William C. Cobb,748.5383
AutoZone,"William C. Rhodes, III",532.0741
SunTrust,"William Henry Rogers, Jr.",919.0668
Sysco,"William J. DeLaney, III",781.5394
Iron Mountain Inc,William L. Meaney,684.0413
Harris,William M. Brown,784.7382
Agilent Technologies,William P. Sullivan,1391.4733
EOG,William R. Thomas,1054.8457
PNC Financial Services Group,William S. Demchak,1133.7904
